Index,Long Name,Indicators Short Name,SDG
391,Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita,Fish and seafood consumption,14
392,Total greenhouse gas emissions per capita including land-use change and forestry,Greenhouse gas emissions inc land-use change and forestry,13
393,Survival to age 65: male (% of cohort),Survival Age Male,3
394,Share of the urban population using at least basic drinking water services,Urban population using at least basic drinking water services,6
395,Openness of executive recruitment,Openness Executive Recruitment,16
396,Theoretical duration of pre-primary education (years),Theoretical Duration Preprimary,4
397,A woman can register a business in the same way as a man (1=yes; 0=no),Woman Can Register a Business,5
398,Labor force: female (% of total labor force),Labor Force Female,5
399,Scientific and technical journal articles per million people,Scientific Research Papers,9
400,Agriculture: forestry: and fishing: value added (% of GDP),Agriculture forestry and fishing,14
401,Meat: chicken | 00001058 || Yield | 005424 || kilograms per animal,Meat - chicken yield,2
402,Alcohol: recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage types: Spirits,Alcohol Consumption (Spirits),3
403,Millet yield,Millet Yield,2
404,Agriculture: forestry: and fishing: value added per worker (constant 2015 US$),Agriculture forestry and fishing per worker,14
405,Age of democracy (with women's suffrage),Age of Democracy,16
406,Equality of political power across social groups (best estimate: aggregate: average),Equality Political Power,16
407,Annual CO₂ emissions growth (%),Annual CO₂ emissions growth (%),13
408,Annual CO₂ emissions from coal (per capita),Annual CO₂ emissions from coal (per capita),13
409,Maize yield,Maize Yield,2
410,Death rate from alzheimer disease and other dementias among both sexes,Death Rate from Alzeimer and Dementia,3
411,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),Women can obtain divorce as men,5
412,Period life expectancy at birth - Sex: all - Age: 0,Period life expectancy at birth,3
413,Meat: kilograms per year per capita,Meat Kilograms per capita-year,2
414,Equality before the law and individual liberty index (best estimate),Equality Before The Law,5
415,Percent of HIV/AIDS deaths,HIV-AIDS deaths %,3
416,Share of deaths from terrorism,Share of deaths from terrorism,16
417,Deliberative political institutions index (best estimate),Deliberative Political Institutions,16
418,Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),Law Mandates Equal Remuneration,5
419,Oil electricity per capita - kWh,Oil Electricity Per Capita,7
420,Rate of Bladder cancer deaths,Bladder Cancer Deaths,3
421,Percent of Self-harm deaths,Percent Selfharm Deaths,3
422,Rate of Leukemia deaths,Leukemia Deaths,3
423,Rate of Cervical cancer deaths,Cervical Cancer Deaths,3
424,Death rate from cardiovascular diseases among both sexes,Cardiovascular Diseases Deaths,3
425,Egalitarian democracy index (best estimate: aggregate: average),Egalitarian Democracy,16
426,Permanent meadows and pastures | 00006655 || Share in Land area | 007209 || Percent,Permanent meadows and pastures,15
427,Death rate from protein-energy malnutrition among both sexes,Protein-energy malnutrition deaths,3
428,UHC Service Coverage Index (SDG 3.8.1),UHC Service Coverage,9
429,Wheat yield,Wheat yield,2
430,Military expenditure (% of GDP),Military expenditure (% of GDP),16
431,Methane emissions from agriculture,Methane emissions from agriculture,13
432,Per capita electricity - kWh,Per Capita Electricity,7
433,Mobile cellular subscriptions (per 100 people),Mobile Cellular Subscriptions,9
434, Labour share of GDP (%),Labour share of GDP,8
435,GDP per capita growth (annual %),GDP per capita growth,8
436,Fertility rate - Sex: all - Age: all - Variant: estimates,Fertility Rate,3
437,Percent of Multiple sclerosis deaths,Percent Multiple Sclerosis Deaths,3
438,Share of global annual CO₂ emissions,Share of global annual CO₂ emissions,13
439,Maternal mortality ratio,Maternal Mortality Ratio,3
440,Rate of Yellow fever deaths,Rate of Yellow fever deaths,3
441,Liberal democracy index (best estimate: aggregate: average),Liberal democracy index,16
442,Percent of Total Cancers excluding Non-melanoma skin cancer deaths,Total Cancers excluding Non-melanoma skin cancer deaths,3
443,Agricultural land | 00006610 || Area | 5110pc || hectares per capita,Agricultural land indicator,3
444,Hydro - % electricity,Hydro Electricity,7
445,Forest cover,Forest Cover,15
446,Political regime (inc. ambiguous categories),Political Regime (with ambiguities),16
447,Presidentialism index (best estimate: aggregate: average),Presidentialism Index,16
448,Death rate from road injury among both sexes,Death rate from road injury,3
449,Out-of-pocket expenditure (% of current health expenditure),Out-of-pocket expenditure,3
450,Age-standardized death rate from ischaemic heart disease among both sexes,Ischaemic heart disease deaths,3
451,Neonatal mortality rate (0 to 27 days) per 1000 live births) (SDG 3.2.2) - Sex: both sexes,Neonatal Mortality Rate,3
452,A woman can get a job in the same way as a man (1=yes; 0=no),Women Can Get a Job Equaly,5
453,Human Development Index,Human Development Index,17
454,Arable land (% of land area),Arable Land,2
455,Electoral democracy,Electoral democracy,16
456,Population density,Population Density,11
457,Current health expenditure per capita: PPP (current international $),"Current health expenditure per capita, PPP ",3
458,Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data),Value of Merchandise Exports,9
459,Political liberties,Political Liberties,16
460,Death rate from malaria among both sexes,Death rate from malaria,3
461,Fish and seafood | 00002960 || Production | 005511 || tonnes,Fish and seafood production,14
462,Government expenditure on education: total (% of government expenditure),Government Expenditure Education,4
463,Total deaths from fire: heat and hot substances among both sexes,Deaths from fire (heat and hot substances),3
464,Proportion of population without primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total,Lack of  clean fuels and technologies for cooking,7
465,Women's political participation index (best estimate: aggregate: average),Womens Political Participation,5
466,State capacity estimate,State Capacity Estimate,16
467,Rate of Chronic kidney disease deaths,Chronic Kidney Disease Deaths,3
468,Outsurvival statistic at birth,Outsurvival Statistic at Birth,3
469,Domestic general government health expenditure (% of GDP),Domestic general government health expenditure,3
470,Primary energy consumption per capita (kWh/person),Primary Energy Consumption,12
471,Average price on emissions covered by a carbon tax: weighted by the share of the country's CO₂ emissions,Average Price of Emissions (carbon tax),13
472,Maize yield split,Maize Yield Split,2
473,Survival to age 65: female (% of cohort),Women's Survival to 65 years,5
474,Rate of Drug use disorders deaths,Rate of Drug use disorders deaths,2
475,gov_transparency_lower,Government Transparency Lower,16
476,Women's political empowerment index (best estimate: aggregate: average),Womens Political Empowerment,5
477,Annual CO₂ emissions from oil (per capita),Annual CO₂ emissions from oil,13
478,Share of the population not using improved water sources,Population not using improved water sources,6
479,Under fifteen mortality - Unit of measure: Deaths per 100 live births - Indicator: Under-fifteen mortality rate - Sex: Both sexes - Wealth quintile: All wealth quintiles,Under Fifteen Mortality,3
480,Total | 00002901 || Food available for consumption | 0684pc || grams of fat per day per capita,Total Food Available for Consumption,2
481,fertilizer_quantity,Fertilizer Quantity,2
482,Pol3 (% of one-year-olds immunized),Pol3 %,3
483,Polio-free status,Poliofree Status,3
484,Completion rate: lower secondary education: both sexes (%): CR.2,Completion of lower secondary education,4
485,Civil society participation index (best estimate),Civil Society Participation,9
486,Annual CO₂ emissions from cement (per capita),Annual CO₂ emissions from cement,13
487,Nutrient nitrogen N (total) | 00003102 || Use per area of cropland | 005159 || Kilograms per hectare,Nutrient nitrogen N (total),7
488,Population - Sex: all - Age: all - Variant: estimates,Population Sex All,11
489,Prevalence of obesity among adults: BMI >= 30 (age-standardized estimate) (%) - Sex: female - Age group: 18+  years,Prevalence Obesity Among Adults,3
490,Rate of Stroke deaths,Rate Stroke Deaths,3
491,3.7.2 - Adolescent birth rate (per 1:000 women aged 15-19 and 10-14 years) - SP_DYN_ADKL - 15 to 19 years old,Adolescent Birth Rate,3
492,Death rate from fire: heat and hot substances among both sexes,Death rate from fire (heat and hot substances),3
493,Nitrous oxide emissions from agriculture,Nitrous Oxide Emissions,13
494,Fertility rate - Sex: all - Age: all - Variant: estimates UN,Fertility Rate (UN),3
495,Agricultural land (% of land area),Agricultural Land,2
496,Death rate from diabetes mellitus among both sexes,Death rate from diabetes mellitus,3
497,Observation value - Unit of measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth quintile: All wealth quintiles,Under-five mortality rate,3
498,Percent of Alcohol use disorders deaths,Alcohol use disorders deaths %,3
499,Private civil liberties index (best estimate: aggregate: average),Private Civil Liberties,16
500,Official entrance age to compulsory education (years),Official entrance age to compulsory education,4
501,Old-age dependency ratio - Sex: all - Variant: estimates,Old-age Dependency Ratio,3
502,Cigarette consumption per smoker per day (IHME: GHDx (2012)),Cigarette Consumption Per Capita,3
503,GDP per capita,GDP per capita,8
504,Fertilizer consumption (kilograms per hectare of arable land),Fertilizer Consumption,2
505,Proportion of population with primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total,Reliance on clean fuels and technologies for cooking,7
506,Rate of Parkinson's disease deaths,Rate of Parkinsons Disease Deaths,3
507,Domestic private health expenditure per capita: PPP (current international $),Domestic Private Health Expenditure,3
508,Official entrance age to pre-primary education (years),Official entrance age to pre-primary education,4
509,Rice yield,Rice Yield,2
510,Annual CO₂ emissions per unit energy (kg per kilowatt-hour),CO₂ emissions per unit energy,13
511,Manufacturing: value added (% of GDP),Manufacturing Value Added,9
512,Rule of Law index (best estimate: aggregate: average),Rule of Law Index,16
513,Women's civil rights index (best estimate: aggregate: average),Womens Civil Rights,5
514,Death rate from lower respiratory infections among both sexes,Death from lower respiratory infections,3
515,Age of democracy (with women's suffrage) BMR,Age of democracy (with women's suffrage) BMR,5
516,Per capita nitrous oxide emissions from agriculture,Nitrous oxide emissions from agriculture,2
517,Prevalence of anemia among children (% of children ages 6-59 months),Prevalence Anemia Among Children,3
518,Rate of Road injuries deaths,Rate of Road injuries deaths,3
519,15.1.2 - Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%) - ER_PTD_FRHWTR,Average Proportion of Freshwater,6
520,Percent of Exposure to forces of nature deaths,Percent of Exposure to forces of nature deaths,3
521,Individuals using the Internet (% of population),Individuals using the Internet ,9
522,Proportion of seats held by women in national parliaments (%),Seats held by women in national parliaments,5
523,Total | 00002901 || Food available for consumption | 0674pc || grams of protein per day per capita,Food available for consumption per capita,2
524,Percent of Diabetes mellitus deaths,Percent of Diabetes mellitus deaths,3
525,There is legislation specifically addressing domestic violence (1=yes; 0=no),Legislation Specific for Domestic Violence,5
526,Death rate from opioid use disorders among both sexes,Death rate from opioid use disorders,3
527,Regulation of political participation,Regulation of Political Participation,16
528,Death rate from amphetamine use disorders among both sexes,Death rate from amphetamine use disorders,3
529,Refugees by destination,Refugees by Destination,16
530,Rate of Police conflict and executions deaths,Rate of Police conflict and executions deaths,16
531,Political regime,Political Regime,16
532,Freedom of association thick index (best estimate),Freedom of Association Thick,16
533,Percent of Ovarian cancer deaths,Percent of Ovarian cancer deaths,3
534,machinery_per_ag_land,Machinery per ag land,9
535,Years colonized,Years Colonized,0
536,Top 1% - Share (Net national wealth) (Estimated),"Net national wealth, top 1%",8
537,Coal electricity per capita - kWh,Coal electricity per capita,7
538,2.2.2 - Proportion of children moderately or severely overweight (%) - SN_STA_OVWGT,Proportion Children moderately or severely overweight,3
539,15.5.1 - Red List Index - ER_RSK_LST,Red List Index,15
540,Access to justice for men (best estimate) (re-estimate),Access Justice For Men,16
541,Death rate from hiv/aids among both sexes,Death rate from hiv-aids,3
542,Cropland | 00006620 || Area | 005110 || hectares,Cropland indicator,2
543,Share of global methane emissions,Share of global methane emissions,13
544,Rate of Diarrheal diseases deaths,Rate of Diarrheal diseases deaths,3
545,Common good justifications (best estimate),Common Good Justifications,0
546,Share of global cumulative CO₂ emissions from flaring,Share of global CO₂ emissions from flaring,13
547,Domestic policymaking free from foreign influence (best estimate: aggregate: average),Domestic Policymaking Free from foreign influence,16
548,Share of global annual CO₂ emissions including land-use change,CO₂ emissions including land-use change,13
549,Percent of Yellow fever deaths,Percent of Yellow fever deaths,3
550,Rate of Other unintentional injuries deaths,Other unintentional injuries deaths,3
551,Share of global cumulative CO₂ emissions from coal,Cumulative CO₂ emissions from coal,13
552,Total polio cases per million,Total Polio Cases,3
553,Egalitarian political institutions index (best estimate),Egalitarian Political Institutions,16
554,Political rights rating,Political Rights Rating,16
555,Richest decile - Share (Pretax) (Estimated),Richest decile - Share (Pretax) ,1
556,Rural population (% of total population),Rural Population,11
557,Electoral democracy (best estimate) (re-estimate),Electoral democracy (re-estimate),16
558,DALYs from all causes: among both sexes per 100.000 people,Dalys From All Causes,0
559,Observation value - Unit of measure: Stillbirths per 100 births - Indicator: Stillbirth rate - Sex: Both sexes - Wealth quintile: All wealth quintiles,Stillbirth Rate,3
560,Prevalence of anemia among pregnant women (%),Anemia in pregnant women,3
561,Percent of Animal contact deaths,Animal contact deaths,3
562,Vaccination schedule for measles-containing-vaccine second-dose (MCV2) vaccine,Vaccination for measles second-dose (MCV2),3
