Index,Field,Merge,Type,Compute,Useful,Main,Example,Note
SCIENCE,concepts.display_name,,string of concepts,,x,MAG CATEGORIES,"[Domestication, Fish <Actinopterygii>, Biology, Fishery, Evolutionary biology, Zoology, Genetics]",
SCIENCE,concepts.id,,string of urls,,,,"[https://openalex.org/C134387633, https://openalex.org/C2909208804, https://openalex.org/C86803240, https://openalex.org/C505870484, https://openalex.org/C78458016, https://openalex.org/C90856448, https://openalex.org/C54355233]",
SCIENCE,concepts.level,,string of integers,,,,"[2, 2, 0, 1, 1, 1, 1]",hierarchy
SCIENCE,concepts.score,,string of scores,,,,"[0.923, 0.744, 0.474, 0.447, 0.443, 0.342, 0.205]",similarity
SCIENCE,concepts.wikidata,,string of urls,,,,"[https://www.wikidata.org/wiki/Q11395, https://www.wikidata.org/wiki/Q127282, https://www.wikidata.org/wiki/Q420, https://www.wikidata.org/wiki/Q180538, https://www.wikidata.org/wiki/Q840400, https://www.wikidata.org/wiki/Q431, https://www.wikidata.org/wiki/Q7162]",
SCIENCE,created_date,,date,,,,"Oct 24, 2023 @ 02:00:00.000",
SCIENCE,display_name,,title text,,,TITLE,The genetic management of fish domestication,
SCIENCE,doi,,url,,,,https://doi.org/10.1186/s12904-024-01586-1,
SCIENCE,id,,url,,,,https://openalex.org/W4387864711,
SCIENCE,ids.doi,,url,,,,https://doi.org/10.2174/97898151791871230401,
SCIENCE,ids.mag,,,,,,,
SCIENCE,ids.openalex,,url,,,,https://openalex.org/W4387864711,
SCIENCE,ids.pmcid,,,,,,,
SCIENCE,ids.pmid,,url,,,,https://pubmed.ncbi.nlm.nih.gov/39551753,
SCIENCE,mesh.descriptor_name,,string of concepts,,,,"[Denmark, Europe, France, Humans, Internationality, Italy, Neoplasms,",
SCIENCE,mesh.descriptor_ui,,string of IDs,,,,"[D003718, D005060, D005602, D006801, D038622, D007558, D009369,",
SCIENCE,mesh.is_major_topic,,string of booleans,,,,"[false, false, false, false, false, false",
SCIENCE,mesh.qualifier_name,,string of labels,,,,"[rehabilitation, methods, psychology]",
SCIENCE,mesh.qualifier_ui,,string of codes,,,,"[(empty), (empty), (empty), (empty), (empty), (empty), Q000534,",
SCIENCE,primary_location.is_accepted,,boolean,,,,FALSE,
SCIENCE,primary_location.is_oa,,boolean,,,,TRUE,
SCIENCE,primary_location.is_published,,boolean,,,,FALSE,
SCIENCE,primary_location.landing_page_url,,url,,,,https://hal.inrae.fr/hal-02683563,
SCIENCE,primary_location.license_id,,,,,,,
SCIENCE,primary_location.pdf_url,,,,,,,
SCIENCE,primary_location.pdf_url,,license,,,,https://hal.inrae.fr/hal-02683563/document,
SCIENCE,primary_location.source.display_name,,publisher,,,,HAL (Le Centre pour la Communication Scientifique Directe),
SCIENCE,primary_location.source.host_organization,,url,,,,https://openalex.org/I1294671590,
SCIENCE,primary_location.source.host_organization_lineage,,url,,,,https://openalex.org/I1294671590,
SCIENCE,primary_location.source.host_organization_lineage_names,,string of institutions,,,,"[Springer Nature, BioMed Central]",
SCIENCE,primary_location.source.host_organization_name,,publisher,,,,French National Centre for Scientific Research,
SCIENCE,primary_location.source.id,,url,,,,https://openalex.org/S4306402512,
SCIENCE,primary_location.source.is_core,,boolean,,,,FALSE,
SCIENCE,primary_location.source.is_in_doaj,,boolean,,,,FALSE,
SCIENCE,primary_location.source.is_oa,,boolean,,,,TRUE,
SCIENCE,primary_location.source.issn,,code,,,,1472-684X,
SCIENCE,primary_location.source.issn_l,,code,,,,1472-684X,
SCIENCE,primary_location.source.type,,label,,,,repository,
SCIENCE,primary_location.version,,label,,,,submittedVersion,
SCIENCE,publication_date,,date,,x,DATE,"Jan 1, 2004 @ 01:00:00.000",
SCIENCE,publication_year,,integer,,,YEAR,"2,024",
SCIENCE,SDG,,label,,x,SDG,SDG 14,
SCIENCE,sdg_new,SDG,,,,,,
SCIENCE,SDGtopics*,,,,,,,
SCIENCE,sentiment.compound,,float,,,,,
SCIENCE,sentiment.neg,,float,,,,,
SCIENCE,sentiment.neu,,float,,,,,
SCIENCE,sentiment.pos,,float,,,,,
SCIENCE,title,,title text,,,,The genetic management of fish domestication,
SCIENCE,topics,SDGtopics*,,,,,,
SCIENCE,topics_new,SDGtopics*,,,,,,
SCIENCE,updated_date,,,,,,"Oct 24, 2023 @ 17:54:44.716",
SCIENCE,wikiConcepts*,,,,,CONCEPTS,"[ Aquaculture, Selective breeding, Domestication, Genetic variability, Animal welfare, ...]","wikification of ""abstract"""
POLICY,id,,,,,,33958,
POLICY,index,,,,,,policy,
POLICY,score,,,,,,-,
POLICY,annotations.title,,,,,,"[Sovereign state, Necessity and sufficiency, Artificial intelligence, Computing, Confluence",
POLICY,annotations.url,,,,,,"[http://en.wikipedia.org/wiki/Sovereign_state, http://en.wikipedia.org/wiki/Necessity_",
POLICY,code,,,,x,LOCATION,ES,
POLICY,concepts.name,,,,x,CONCEPTS,"[Portuguese language, Autonomous communities of Spain, La Rioja, Público (Spain), Boletín Oficial del Estado, Ministry of Economy (Spain), European Union]





",
POLICY,concepts.url,,,,,,"[http://en.wikipedia.org/wiki/Portuguese_language, http://en.wikipedia.org/wiki/Autonomous_communities_of_Spain, http://en.wikipedia.org/wiki/La_Rioja, http://en.wikipedia.org/wiki/P%c3%bablico_(Spain), http://en.wikipedia.org/wiki/Bolet%c3%adn_Oficial_del_Estado, http://en.wikipedia.org/wiki/Ministry_of_Economy_(Spain), http://en.wikipedia.org/wiki/European_Union]",
POLICY,content,,long string,,x,BODY,"After two years in my position, I can certify that all functions we have been working with have kept on recruiting new staff while using our AI-based solutions.” In finance, case studies where job quantities remained steady following AI implementation often involved AI technologies that improved the quality of customer service through more accurate solutions to customer problems, more tailored service offerings, or better abilities to predict customer needs. In these cases, AI technologies aided better quality customer interactions while the volume of tasks remained the same or increased. To take an example, one case study explored a deep learning tool implemented by a Canadian insurer that uses historical data to predict when a customer is likely to escalate a service issue. Sales agents previously conducted spot checks to review customer accounts for potential issues. After the introduction of the AI technology, agents are given a priority list of account issues to solve pre-emptively, Unclassified allowing them to anticipate client needs, thereby improving the quality of customer service. Speaking to the motivation for introducing the tool, a manager at the firm stated: “We wanted to solve client problems before they reach out directly. We take customer satisfaction very seriously and want to deliver our services as well as we possibly can.” Even without being firms’ primary aim, AI technologies that improve product or service quality could result in productivity gains that could enable firms to decrease employment levels. Whether they do so depends on how the productivity gains are used: to increase output with the same number of workers or to keep output constant while decreasing the number of workers. In the above case study, the deep learning tool also allowed sales agents to be more productive in resolving customer issues.",
POLICY,country,,country_code,,x,,OECD,
POLICY,country_code.alpha-2,,,,,,,
POLICY,country_code.alpha-3,,,,,,,
POLICY,date,,date,,x,DATE,"Jan 1, 2023 @ 01:00:00.000",
POLICY,doc_id,,integer,,,,216,
POLICY,id,,code,,,,OECD iLibrary_0_2_2023,
POLICY,link,,url,,,,https://www.oecd-ilibrary.org/deliver/2247ce58-en.pdf?itemId=%2Fcontent%2Fpaper%2F2247ce58-en&mimeType=pdf,
POLICY,p_id,,integer,,,,49,
POLICY,region,,,,,,,
POLICY,SDG,,string of cats,,x,SDG,"[SDG 4, capacity-building, SDG 9, (Critical AND infrastructure)]",
POLICY,SDG_new,,,,,,,
POLICY,Pilots*,,,,,,"[ capacity-building, (Critical AND infrastructure)]",
POLICY,sentiment.compound,,float,,,SENTIMENT,0.98,
POLICY,sentiment.neg,,float,,,,0.049,
POLICY,sentiment.neu,,float,,,,0.818,
POLICY,sentiment.pos,,float,,,,0.133,
POLICY,source,,string,,x,not relevant for OECD,OECD iLibrary,
POLICY,title,,string,,x,TITLE,The impact of AI on the workplace: Evidence from OECD case studies of AI implementation,
POLICY,topics,,,,,,,
POLICY,translated_text,,long string,,,,Ensuring countries have sufficient such “AI compute capacity”,
POLICY,year,,integer,,x,YEAR,2003,
EDUCATION,id,,,,,,33958,
EDUCATION,index,,,,,,education,
EDUCATION,score,,,,,,-,
EDUCATION,annotations,,,,,,,
EDUCATION,annotations.title,,string of concepts,,,CONCEPTS,"[Connecting, Connect the dots, Dots (video game), Ring road, Manufacturing, Syllable, Chicago Loop]","wikification of ""description"""
EDUCATION,annotations.url,,string of urls,,,,"[http://en.wikipedia.org/wiki/Connecting, http://en.wikipedia.org/wiki/Connect_the_dots, http://en.wikipedia.org/wiki/Dots_(video_game),",
EDUCATION,authors.description,,long string,,,,(empty),
EDUCATION,authors.id,,integer,,,,"13,763",
EDUCATION,authors.name,,string,,x,AUTHORS,Peter Stanković,
EDUCATION,authors.views,,integer,,,,30,
EDUCATION,description,,string,,,,"Družbena omrežja so pomemben nov komunikacijski medij in hkrati tudi pripravna platforma za promocijske dejavnosti. Da bi ugotovili, kako jih uporabljajo sodobni slovenski narodnozabavni glasbeniki, smo izpeljali tekstualno analizo dejavnosti šestih najbolj priljubljenih slovenskih narodnozabavnih zasedb. Rezultati kažejo, da so na družbenih omrežjih prisotne vse analizirane zasedbe, vendar na različne načine: skupine, ki se približujejo konvencijam pop glasbe, so zelo aktivne in spretne, medtem ko so tiste, ki ostajajo bližje konvencijam klasične narodnozabavne glasbe, na družbenih omrežjih zadržane. Kljub vsem razlikam pa analizirane zasedbe na družbenih omrežjih povezujeta dva izstopajoča vsebinska poudarka: ljudskost in zabava. Zdi se torej, da so sodobne narodnozabavne zasedbe kljub morebitnemu približevanju mainstreamovskemu popu še vedno močno zavezane eni od osrednjih tradicionalističnih vrednot, skupnosti, le da je zdaj očitno pomembno, da se ta skupnost zabava.",
EDUCATION,duration,,float,,,,"1,865",
EDUCATION,event.caption,,string,,x,EVENT,SSJLK 2023 - Ljubljana,
EDUCATION,event.date,,date,,x,DATE,"Jul 3, 2023 @ 09:00:00.000",
EDUCATION,event.description,,long string,,keywords?,,"Ob razmisleku o 21. stoletju kot informacijski ali digitalni dobi se je sprva razpravljalo predvsem o novih finančnih in gospodarskih tokovih ter o prednostih ali slabostih digitalizacije, v zadnjem desetletju pa se vse pogosteje opozarja na to, kako nove tehnologije in novi, digitalni svetovi stopajo v življenje posameznika od najzgodnejšega obdobja naprej, kako spreminjajo družbo in razmerja znotraj nje, kako se na novo vzpostavljajo umetniški izrazi, kulturne prakse ter sporazumevalne norme, vzorci in diskurzi. Raziskav o tem, kako so IKT-tehnologije zaznamovale jezik, literaturo in kulturo, tudi v slovenskem okolju – še posebej po prelomu, ki ga je prinesla epidemija Covida19 – ni malo, vendar se marsikdaj usmerjajo predvsem v digitalizacijo sporazumevanja, tj. prenos načinov izražanja ter procesov, kot jih poznamo v nedigitalnem svetu, ali v nova orodja umetne inteligence in njihovo zmogljivost na posameznih področjih, ob čemer se poudarjajo bodisi prednosti bodisi pasti. Temeljna raziskovalna namena prispevkov, ki so bili predstavljeni na **[[https://centerslo.si/seminar-sjlk/|59. seminarju slovenskega jezika, literature in kulture]]**, sta tako dva: ponuditi nekoliko širši oris dogajanja v jeziku, literaturi in kulturi ob srečanju s spletnimi svetovi, saj šele v interakciji kažejo podobo sodobne družbe, ki jo ti svetovi soustvarjajo, ter spodbuditi kritični pogled, ki presega zgolj odklanjanje ali sprejemanje digitalnih tehnologij in digitalnega.",
EDUCATION,event.id,,integer,,,,"33,865",
EDUCATION,event.title,,string,,,,"59. seminar slovenskega jezika, literature in kulture: Slovenski jezik, literatura, kultura in digitalni svet(ovi), Ljubljana 2023",
EDUCATION,id,,integer,,,,"33,869",
EDUCATION,new_sdg,,,,,,,
EDUCATION,new_topics,,,,,,,
EDUCATION,public,,boolean,,,,TRUE,
EDUCATION,published,,date,,x,DATE,"Aug 16, 2023",
EDUCATION,category*,,string,,x,CATEGORY,machine learning,
EDUCATION,SDG,,string,,x,SDG,SDG 15,"Redefine based on ""CONCEPTS"""
EDUCATION,sentiment,,,,,,,
EDUCATION,sentiment.compound,,float,,,,0.98,
EDUCATION,sentiment.neg,,float,,,,0.049,
EDUCATION,sentiment.neu,,float,,,,0.818,
EDUCATION,sentiment.pos,,float,,,,0.133,
EDUCATION,slug,,word,,,,ssjlk2023_stankovic_digitalno_komuniciranje,
EDUCATION,thumbnail,,url,,,,https://apiminio.videolectures.net/vln/lectures/33869/sl/thumbnail.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=masoud%2F20231110%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20231110T153743Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=21dadd899ab903395045f8080e2539ab20caa178fda72714a5357edceeb04c6f,
EDUCATION,title,,string,,x,,Digitalno komuniciranje: Slovenske narodnozabavne zasedbe na družbenih omrežjih,
EDUCATION,views,,integer,,,,5,
EDUCATION,year,,,,x,YEAR,2023,
INNOVATION,id,,,,,,33958,
INNOVATION,index,,,,,,innovations_v2,
INNOVATION,score,,,,,,-,
INNOVATION,annotations.title,,string of concepts,,x,CONCEPTS,"[Quran, Data, School, Locus (genetics), Critical thinking, Quality control,","wikification of ""description"""
INNOVATION,annotations.url,,string of urls,,,,"[http://en.wikipedia.org/wiki/Quran, http://en.wikipedia.org/wiki/Data,",
INNOVATION,code,,,,,,,
INNOVATION,company,,,,x,NAME,1worldblockchain,
INNOVATION,country,,,,,COUNTRY,United Arab Emirates,
INNOVATION,country_code.alpha-2,,,,,,,
INNOVATION,country_code.alpha-3,,,,,,,
INNOVATION,description,,,,x,CONTENT,"1WB is the ""second coming"" of Alibaba for multicurrency invoice payments. We offer an easy-to-use payment platform for B2B2C invoice-based transactions. We leverage the latest technologies of WEB3 and financial services to offer a compliant payment platform App for SMEs, consumers and the unbanked.
The 1WB DeFi e-wallet/App allows global-users of the banked/unbanked and female users to control their money/finances to live, work and prosper in today's digital economy.",need to wikify
INNOVATION,github,,,,,,,
INNOVATION,industry,,,,x,,Finance / Credit Companies,
INNOVATION,linkedIn,,,,,,edng2000,
INNOVATION,gitHub*,,,,,,,
INNOVATION,open_data,,,,,,,
INNOVATION,project,,long string,,x,,A Framework for Designing Student Support Strategies in Higher Education Institutions using Artificial Intelligence,
INNOVATION,prototype,,,,,,,
INNOVATION,Publications,,,,,,"Edward Ng – Chairman of 1worldblockchain

Published a business whitepaper titled:
""Transformation of the Tokenized Economy"" (year 2019)

Other business process automation use-cases with WEB3-AI technologies

Waiki Hui – Senior Architect

Published and obtained a patent – US Patent 8,095,441
""Method and System for Administering Money Laundering Prevention Program",
INNOVATION,region,,,,,,,
INNOVATION,SDG,,string of labels,,x,SDG,"[SDG 1: No Poverty, SDG 4: Quality Education, SDG 10: Reduced Inequality]",neet to extract just a string of SDGs
INNOVATION,sentiment.compound,,float,,x,SENTIMENT,0.98,
INNOVATION,sentiment.neg,,float,,,,0.049,
INNOVATION,sentiment.neu,,float,,,,0.818,
INNOVATION,sentiment.pos,,float,,,,0.133,
INNOVATION,Top 100 ID,,,,,,,
INNOVATION,Website,,,,,,https://1worldblockchain.com,
INNOVATION,Year,,,,x,YEAR,2023,extract from competition year
INDICATORS,_id,,string,,x,ID,2023-Life expectancy difference (f-m) - Type: period - Sex: both - Age: 0-2023,
INDICATORS,_index,,,,,,,
INDICATORS,_score,,,,,,,
INDICATORS,country,Country Name,string,,x,,Zimbabwe,
INDICATORS,county_type,x,boolean,,?,,FALSE,
INDICATORS,Country Code,,country_code,,,,EAP,
INDICATORS,Country Name,,string,,,,East Asia & Pacific (excluding high income),
INDICATORS,date,,date,,,,"Jan 1, 2019 @ 01:00:00.000",
INDICATORS,id,,string,,?,ID,2023-Life expectancy difference (f-m) - Type: period - Sex: both - Age: 0-2023,repeating?
INDICATORS,Indicator Code,,string,,,,NY.GDP.COAL.RT.ZS,
INDICATORS,Indicator Name,,string,,,,Coal rents (% of GDP),
INDICATORS,SDG,,integer,,,,7,
INDICATORS,value,,float,,x,,0.417011448,
INDICATORS,Year,,integer,,x,,"2,023",
INDICATORS,Indicator,Indicator Name,,,,,,
INDICATORS,indicator,Indicator Name,,,,,,
INDICATORS,Indicator Short Name,,,,,,,
INDICATORS,Source,Source,,,,,,
INDICATORS,source,,,,,,,
INDICATORS,year,Year,,,,,,
,,,,,,,,
,,,,,,,,
,,,,›,,,,
